Journal title,ISSN,eISSN,Publisher name,Publisher address,Languages,Web of Science Categories
RETI SAPERI LINGUAGGI-ITALIAN JOURNAL OF COGNITIVE SCIENCES,1826-8889,2279-7777,SOC ED IL MULINO,"STRADA MAGGIORE 37, BOLOGNA, ITALY, 40125",Multi-Language,Philosophy
RETOS-NUEVAS TENDENCIAS EN EDUCACION FISICA DEPORTE Y RECREACION,1579-1726,1988-2041,FEDERACION ESPANOLA ASOC DOCENTES EDUCACION FISICA-FEADEF,"C CABO VIDIO 27, SAN JAVIER, MURCIA, SPAIN, 30730","English, Spanish","Hospitality, Leisure, Sport & Tourism"
RETOS-REVISTA DE CIENCIAS DE LA ADMINISTRACION Y ECONOMIA,1390-6291,1390-8618,UNIV POLITECNICA SALESIANA ECUADOR-SALESIAN POLYTECNIC UNIV,"CALLE TURUHUAYO 3-69 & CALLE VIEJA, CUENCA, ECUADOR, 00000","Spanish, English",Economics
REUMATISMO,0048-7449,2240-2683,PAGEPRESS PUBL,"MEDITGROUP, VIA G BELLI, 4, PAVIA, Italy, 27100","Italian, English",Rheumatology
REUMATOLOGIA CLINICA,1699-258X,1885-1398,ELSEVIER ESPANA SLU,"AV JOSEP TARRADELLAS, 20-30, 1ERA PLANTA, BARCELONA, SPAIN, CP-08029",Multi-Language,Rheumatology
REUNIR-REVISTA DE ADMINISTRACAO CONTABILIDADE E SUSTENTABILIDADE,2237-3667,2237-3667,"UNIV FEDERAL CAMPINA GRANDE, CENTRO CIENCIAS JURIDICAS & SOCIAIS","RUA SINFRONIO NAZARE 38, CENTRO, SOUSA, BRAZIL, PB 58800-240",Portuguese,Business
REVELETEO-REVISTA ELECTRONICA ESPACO TEOLOGICO,2177-952X,2177-952X,"PONTIFICIA UNIV CATOLICA SAO PAULO, FAC TEOLOGIA","AV NAZARE 993, IPIRANGA, SAO PAULO, BRAZIL, 04263-100",Portuguese,Religion
REVELL-REVISTA DE ESTUDOS LITERARIOS DA UEMS,2179-4456,2179-4456,UNIV ESTADUAL MATO GROSSO SUL,"CIDADE UNIV DOURADOS, DOURADOS, BRAZIL, MG 79804-970","English, Portuguese, Spanish",Literature
REVER-REVISTA DE ESTUDOS DA RELIGIAO,1677-1222,1677-1222,PONTIFICIA UNIV CATOLICA SAO PAULO,"PROG ESTUDOS POS-GRAD & CIENCIAS RELIGIAO, SAO PAULO, BRAZIL, 00000",Multi-Language,Religion
REVESCO-REVISTA DE ESTUDIOS COOPERATIVOS,1885-8031,1135-6618,"UNIV COMPLUTENSE MADRID, SERVICIO PUBLICACIONES","CIUDAD UNIV, OBISPO TREJO 3, MADRID, SPAIN, 28040","Spanish, English",Economics
REVIEW & EXPOSITOR,0034-6373,2052-9449,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",English,Religion
REVIEW OF ACCOUNTING AND FINANCE,1475-7702,1758-7700,EMERALD GROUP PUBLISHING LTD,"HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA",English,"Business, Finance"
REVIEW OF AGRARIAN STUDIES,2249-4405,2248-9002,FOUNDATION AGRARIAN STUDIES,"514, FIRST FLR, 16 CROSS, INDIRANAGAR II STAGE, BANGALORE, INDIA, 560038",English,Development Studies
REVIEW OF ASSET PRICING STUDIES,2045-9920,2045-9939,OXFORD UNIV PRESS,"GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP",English,"Business, Finance"
REVIEW OF AUSTRIAN ECONOMICS,0889-3047,1573-7128,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",English,Education & Educational Research
REVIEW OF BEHAVIORAL ECONOMICS,2326-6198,2326-6201,NOW PUBLISHERS INC,"PO BOX 1024, HANOVER, United States, MA, 02339",English,Economics
REVIEW OF BEHAVIORAL FINANCE,1940-5979,1940-5987,EMERALD GROUP PUBLISHING LTD,"HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA",English,"Business, Finance"
REVIEW OF BUSINESS,0034-6454,0034-6454,ST JOHNS UNIV BUSINESS RESEARCH INST,"BENT HALL, JAMAICA, USA, NY, 11439",English,Business
REVIEW OF COMMUNICATION RESEARCH,2255-4165,2255-4165,REVIEW COMMUNICATION RESEARCH,"REVIEW COMMUNICATION RESEARCH, MADRID, SPAIN, 00000",English,Communication
REVIEW OF CORPORATE FINANCE STUDIES,2046-9128,2046-9136,OXFORD UNIV PRESS,"GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP",English,"Business, Finance"
REVIEW OF DEVELOPMENT FINANCE,1879-9337,1879-9337,AFRICAGROWTH INST,"The Cliffs, Unit 13, Tygerfalls, Niagara Way, BELLVILLE, South Africa, Cape Town, 7535",English,"Business, Finance"
REVIEW OF ECONOMIC ANALYSIS,1973-3909,1973-3909,DIGITAL INITIATIVES UNIV WATERLOO LIB,"200 University Ave West, WATERLOO, Canada, ON, N2L 3G1",English,Economics
REVIEW OF ECONOMIC PERSPECTIVES,1213-2446,1804-1663,SCIENDO,"BOGUMILA ZUGA 32A, WARSAW, Poland, MAZOVIA, 01-811",English,Economics
REVIEW OF ECONOMICS AND POLITICAL SCIENCE,2356-9980,2631-3561,EMERALD GROUP PUBLISHING LTD,"HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA",English,Political Science | Economics
REVIEW OF EDUCATION,2049-6613,2049-6613,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,Education & Educational Research
REVIEW OF EDUCATION PEDAGOGY AND CULTURAL STUDIES,1071-4413,1556-3022,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,Education & Educational Research
REVIEW OF EUROPEAN AND COMPARATIVE LAW,,2545-384X,JOHN PAUL II CATHOLIC UNIV LUBLIN,"AL RACLAWICKIE 14, LUBLIN, POLAND, PL 20-950",,Law
REVIEW OF FINANCIAL ECONOMICS,1058-3300,1873-5924,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Business, Finance"
REVIEW OF INTERNATIONAL BUSINESS AND STRATEGY,2059-6014,1758-8529,EMERALD GROUP PUBLISHING LTD,"HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA",English,Business
REVIEW OF KOREAN STUDIES,1229-0076,1229-0076,ACAD KOREAN STUDIES,"323 HAOGAE-RO BUNDANG-GU SEONGNAM-SI, GYEONGGI-DO, SOUTH KOREA, 13455",English,Asian Studies
REVIEW OF LAW & ECONOMICS,2194-6000,1555-5879,WALTER DE GRUYTER GMBH,"GENTHINER STRASSE 13, BERLIN, GERMANY, D-10785",English,Law
REVIEW OF MIDDLE EAST STUDIES,2151-3481,2329-3225,CAMBRIDGE UNIV PRESS,"32 AVENUE OF THE AMERICAS, NEW YORK, USA, NY, 10013-2473",English,Area Studies
REVIEW OF PACIFIC BASIN FINANCIAL MARKETS AND POLICIES,0219-0915,1793-6705,WORLD SCIENTIFIC PUBL CO PTE LTD,"5 TOH TUCK LINK, SINGAPORE, SINGAPORE, 596224",English,"Business, Finance"
REVIEW OF PHILOSOPHY AND PSYCHOLOGY,1878-5158,1878-5166,SPRINGER,"VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ",English,"Psychology, Multidisciplinary"
REVIEW OF POLITICAL ECONOMY,0953-8259,1465-3982,TAYLOR & FRANCIS LTD,"2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN",English,Economics
REVIEW OF QUANTITATIVE FINANCE AND ACCOUNTING,0924-865X,1573-7179,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",English,"Business, Finance"
REVIEW OF RABBINIC JUDAISM,1568-4857,1570-0704,BRILL,"PLANTIJNSTRAAT 2, P O BOX 9000, LEIDEN, NETHERLANDS, 2300 PA",English,Religion
REVIEW OF REGIONAL RESEARCH-JAHRBUCH FUR REGIONALWISSENSCHAFT,0173-7600,1613-9836,SPRINGER HEIDELBERG,"TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121",English,Economics
REVIEW OF REGIONAL STUDIES,0048-749X,1553-0892,SOUTHERN REGIONAL SCIENCE ASSOC,"BLOUSTEIN SCH PUBLIC POLICY, RUTGERS UNIV, NEW BRUNSWICK, USA, NK, 08901",English,Economics
REVIEW OF RELIGION AND CHINESE SOCIETY,2214-3947,2214-3955,BRILL,"PLANTIJNSTRAAT 2, P O BOX 9000, LEIDEN, NETHERLANDS, 2300 PA",English,Asian Studies | Religion
REVIEW OF SOCIAL ECONOMY,0034-6764,1470-1162,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,Economics
REVIEW OF SOCIONETWORK STRATEGIES,2523-3173,1867-3236,SPRINGER JAPAN KK,"SHIROYAMA TRUST TOWER 5F, 4-3-1 TORANOMON, MINATO-KU, TOKYO, JAPAN, 105-6005",English,"Computer Science, Information Systems"
REVIEWS IN ANTHROPOLOGY,0093-8157,1556-3014,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,Anthropology
REVIEWS IN MEDICAL MICROBIOLOGY,0954-139X,1473-5601,LIPPINCOTT WILLIAMS & WILKINS,"TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103",English,Microbiology
REVIEWS OF ADHESION AND ADHESIVES,2168-0965,2168-0973,SCRIVENER PUBLISHING LLC,"100 CUMMINGS CENTER, SUITE 541J, BEVERLY, USA, MA, 01915-6106",English,"Materials Science, Multidisciplinary"
REVIEWS ON RECENT CLINICAL TRIALS,1574-8871,1876-1038,BENTHAM SCIENCE PUBL LTD,"EXECUTIVE STE Y-2, PO BOX 7917, SAIF ZONE, SHARJAH, U ARAB EMIRATES, 1200 BR",English,Pharmacology & Pharmacy
REVISTA ACADEMICA DA FACULDADE DE DIREITO DO RECIFE,1980-3087,2448-2307,UNIV FED PERNAMBUCO,"RUA HOSPICIO, NO 371, BLOCO C, 2O ANDAR, BOS VISTA, RECIFE, BRAZIL, FE, CEP53130-060",Portuguese,Law
REVISTA ACTA GEOGRAFICA,1980-5772,2177-4307,UNIV FEDERAL RORAIMA,"CAMPUS DO PARICARANA, AVENIDA CAPITAO ENE GARCEZ 2413, BOA VISTA, BRAZIL, RR 69304-000",Multi-Language,Geography
REVISTA ADMINISTRACAO EM DIALOGO,2178-0080,2178-0080,PONTIFICIA UNIV CATOLICA SAO PAULO-PUC-SP,"RUA MONTE ALEGRE, 984, SAO PAULO SP, BRAZIL, 05014-001",Portuguese,Management
REVISTA AGROGEOAMBIENTAL,1984-428X,2316-1817,INST FEDERAL SUL MINAS GERAIS-I FSULDEMINAS,"PRO-REITORIA PESQUISA, RUA CIOMARA AMARAL PAULA 167, POUSO ALEGRE, BRAZIL, MG 37550-000","English, Portuguese",Agronomy
REVISTA AMBIENTE CONTABIL,2176-9036,2176-9036,UNIV FED RIO GRANDE DO NORTE,"CAMPUS UNIV, CAIXA POSTAL 1622, RIO GRANDE DO NORTE, BRAZIL, NATAL, CEP59078-970","Spanish, Portuguese","Business, Finance"
REVISTA ANDINA DE ESTUDIOS POLITICOS,2221-4135,2221-4135,"UNIV NACL MAYOR SAN MARCOS, INST ESTUDIOS POLITICOS ANDINOS","UNIV NACL MAYOR SAN MARCOS, INST ESTUDIOS POLITICOS ANDINOS, LIMA, PERU, 00000",Multi-Language,Political Science
REVISTA ARGENTINA DE CIENCIAS DEL COMPORTAMIENTO,1852-4206,1852-4206,"UNIV NACL CORDOBA, FAC PSICOLOGIA","ENFERMERA GORDILLO S-N, CIUDAD UNIV, CORDOBA, ARGENTINA, 5000",Spanish,"Psychology, Multidisciplinary"
REVISTA ARGENTINA DE HISTORIOGRAFIA LINGUISTICA,1852-1495,1852-1495,REVISTA ARGENTINA HISTORIOGRAFIA LINGUISTICA-RAHL,"CIUDAD DE LA PAZ 562 PB D, BUENOS AIRES, ARGENTINA, 1426",Multi-Language,Language & Linguistics
REVISTA ARTEMIS,2316-5251,1807-8214,UNIV FEDERAL PARAIBA,"CIDADE UNIV, JOAO PESSOA, BRAZIL, PB 58059-900",Portuguese,Women'S Studies
REVISTA BIBLICA,0034-7078,2683-7153,ASOCIACIÓN BÍBLICA ARGENTINA,,,Religion
REVISTA BIO CIENCIAS,2007-3380,2007-3380,UNIV AUTONOMA NAYARIT,"UNIV AUTONOMA NAYARIT, NAYARIT, MEXICO, 00000","Spanish, English",Biology
REVISTA BOLIVIANA DE DERECHO,2070-8157,2070-8157,FUNDACION IURIS TANTUM,"PASAJE TUMUSLA NO 77, SANTA CRUZ DE LA SIERRA, BOLIVIA, 00000",Spanish,Law
REVISTA BRASILEIRA DE CIENCIAS AGRARIAS-AGRARIA,1981-1160,1981-0997,UNIV FEDERAL RURAL PERNAMBUCO,"DEPT MED VET, AV DOM MANOEL MEDEIROS S-N DOIS IRMAOS, RECIFE PE, BRAZIL, 52171 900",Portuguese,Agronomy
REVISTA BRASILEIRA DE COMPUTACAO APLICADA,2176-6649,2176-6649,UNIV PASSO FUNDO,"CAIXA POSTAL 611, PASSO FUNDO, BRAZIL, RS 99001-970","Portuguese, English","Computer Science, Interdisciplinary Applications"
REVISTA BRASILEIRA DE DIREITO,1807-1228,2238-0604,FAC MERIDIONAL-IMED,"R SEN PINHEIRO, 304-CRUZEIRO, PASSO FUNDO, BRAZIL, RS 99070-220",Portuguese,Law
REVISTA BRASILEIRA DE DIREITO PROCESSUAL PENAL,2359-3881,2525-510X,INST BRASILEIRO DIREITO PROCESSUAL PENAL-IBRASPP,"AV PALMEIRA, 27-PETROPOLIS, PORTO ALEGRE, BRAZIL, RS, CEP90470-300","Portuguese, Italian, Spanish",Law
REVISTA BRASILEIRA DE EDUCACAO DO CAMPO-BRAZILIAN JOURNAL OF RURAL EDUCATION,2525-4863,2525-4863,"UNIV FEDERAL TOCANTINS, CAMPUS TOCANTINOPOLIS","DEPT EDUC CAMPO A, NOSSA SENHORA FATIMA, N 1588, TOCANTINOPOLIS, BRAZIL, CEP77900-000","English, Portuguese, Spanish",Education & Educational Research
REVISTA BRASILEIRA DE ENFERMAGEM,0034-7167,1984-0446,ASSOC BRASILEIRA ENFERMAGEM,"SGA NORTE QUADRA 603 CONJ B AV L2 NORTE, BRASILIA DF, BRAZIL, 70830-030","Portuguese, English, Spanish",Nursing
REVISTA BRASILEIRA DE ESTUDOS POLITICOS,0034-7191,2359-5736,REVISTA BRASILEIRA ESTUDOS POLITICOS,"AV JOAO PINHEIRO NO 100-SALA 1206, BELO HORIZONTE, BRAZIL, MINAS GERAIS, 30130-180",Portuguese,Political Science
REVISTA BRASILEIRA DE FUTSAL E FUTEBOL,1984-4956,1984-4956,INST BRASILEIRO PESQUISA & ENSINO FISIOLOGIA EXERCICIO-IBPEFEX,"INST BRASILEIRO PESQUISA & ENSINO FISIOLOGIA EXERCICIO-IBPEFEX, SAO PAULO, BRAZIL, 00000","Portuguese, English, Spanish","Hospitality, Leisure, Sport & Tourism"
REVISTA BRASILEIRA DE GEOMORFOLOGIA,1519-1540,2236-5664,UNIAO GEOMORFOLOGIA BRASILEIRA,"UNIV FEDERAL UBERLANDIA, AV JOAO NAVES AVILA 2160, UBERLANDIA, BRAZIL, BRAZIL, 00000","English, Portuguese","Geography, Physical"
REVISTA BRASILEIRA DE GINECOLOGIA E OBSTETRICIA,0100-7203,1806-9339,GEORG THIEME VERLAG KG,"RUDIGERSTR 14, STUTTGART, GERMANY, D-70469","English, Portuguese",Obstetrics & Gynecology
REVISTA BRASILEIRA DE HISTORIA & CIENCIAS SOCIAIS,2175-3423,2175-3423,UNIV VALE DORIO SINOS-UNISINOS,"UNIDADE ACADEMICA DE PESQUISA E POS-GRADUACAO, EDITORIA PERIODICOS CIENTIFICOS, AV UNISINOS, 950, SAO LEOPOLDO, BRAZIL, RS, 93 022-000","Portuguese, Spanish","Social Sciences, Interdisciplinary"
REVISTA BRASILEIRA DE INOVACAO,1677-2504,2178-2822,"UNIV ESTADUAL CAMPINAS, INST GEOCIENCIAS, DEPT POLITICA CIENTIFICA & TECN","A-C REVISTA BRASILEIRA INOVACAO, CAIXA POSTAL 6152 CAMPINAS, SAO PAULO, BRAZIL, 13083-870",Portuguese,Business
REVISTA BRASILEIRA DE MARKETING,2177-5184,2177-5184,UNIV NOVE JULHO,"AV FRANCISCO MATARAZZO 612, AGUA BRANCA, SAO PAULO, BRAZIL, C05001-100","English, Portuguese, Spanish",Business
REVISTA BRASILEIRA DE PESQUISA EM TURISMO,,1982-6125,ANPTUR- ASSOCIACAO NACIONALES PESQUISA E POS-GRADUACAO EM TURISMO,"AV. ARLINDO BETTIO, 1000, SAO PAULO, BRAZIL, 03828-000","English, Portuguese, Spanish","Hospitality, Leisure, Sport & Tourism"
REVISTA CASTELLANA DE GASTROENTEROLOGIA,0213-1463,0213-1463,ASOC CASTELLANA APARATO DIGESTIVO,"SANCHO DAVILA, 6, MADRID, SPAIN, 28028",Spanish,Gastroenterology & Hepatology
REVISTA CATALANA DE DRET PUBLIC,1885-5709,1885-8252,ESCOLA ADM PUBLICA CATALUNYA,"C GIRONA, 20, BARCELONA, SPAIN, 08010","Catalan, English, French, Galician, German, Italian, Spanish",Law
REVISTA CES DERECHO,2145-7719,2145-7719,UNIV CES,"CALLE 10 A, NO 22, MEDELLIN, COLOMBIA, 00000",Spanish,Law
REVISTA CES PSICOLOGIA,2011-3080,2011-3080,UNIV CES,"CALLE 10 A, NO 22, MEDELLIN, COLOMBIA, 00000",Spanish,"Psychology, Multidisciplinary"
REVISTA CES SALUD PUBLICA,2145-9932,2145-9932,UNIV CES,"CALLE 10 A, NO 22, MEDELLIN, COLOMBIA, 00000",,"Public, Environmental & Occupational Health"
REVISTA CHILENA DE DERECHO Y TECNOLOGIA,0719-2576,0719-2584,"UNIV CHILE, FAC DERECHO","PIO NONO NO 1, PROVIDENCIA, SANTIAGO DE CHILE, CHILE, 00000",Spanish,Law
REVISTA CHILENA DE ESTUDIOS MEDIEVALES,0719-2215,0719-689X,"UNIV GABRIELA MISTRAL, CENTRO ESTUDIOS MEDIEVALES","LADISLAO ERRAZURIZ 2073, PROVIDENCIA, SANTIAGO, CHILE, 00000","Portuguese, Spanish",Medieval & Renaissance Studies
REVISTA CHILENA DE NEUROPSICOLOGIA,0718-4913,0718-4913,UNIV FRONTERA,"AV FRANCISCO SALAZAR, TEMUCO, CHILE, 01145",Spanish,"Psychology, Biological"
REVISTA CHILENA DE NUTRICION,0717-7518,0717-7518,"SOC CHILENA NUTRICION, BROMATOLOGIA & TOXICOLOGIA","CONCEPCION 81, OFICINA 1307, PROVIDENCIA, SANTIAGO, CHILE, 00000",Multi-Language,Nutrition & Dietetics
REVISTA CICAG,1856-6189,1856-6189,UNIV DR RAFAEL BELLOSO CHACIN,"AVE LA GOAJIRA Y CIRCUNVALACION 2, BLOQUE G, PISO 2, MARACAIBO, VENEZUELA, ZULIA, 4005",,Management
REVISTA CIDOB D AFERS INTERNATIONALS,1133-6595,2013-035X,FUNDACIO CIDOB,"C ELISABETS, 12, BARCELONA, SPAIN, 08001",Spanish,International Relations
REVISTA CIENCIAS ADMINISTRATIVAS,1414-0896,2318-0722,RUSSIAN SOC HISTORIANS & ARCHIVISTS,"RUSSIAN SOC HISTORIANS & ARCHIVISTS, MOSCOW, RUSSIA, 00000",Multi-Language,Management
REVISTA CIENCIAS PEDAGOGICAS E INNOVACION,1390-7603,1390-7603,UNIV ESTATAL PENINSULA SANTA ELENA,"UNIV ESTATAL PENINSULA SANTA ELENA, LA LIBERTAD, ECUADOR, 00000",Spanish,Education & Educational Research
REVISTA CIENCIAS SOCIALES Y EDUCACION,2256-5000,2590-7344,UNIV MEDELLIN,"SELLO EDITORIAL, CARRERA 87 NO 30-65, BLOQUE 20, SEGUNDO PISO, APARTADO AEREO 1983, MEDELLIN, COLOMBIA, ANTIOQUIA, 00000",Spanish,Social Issues
REVISTA CIENTIFICA,0124-2253,2344-8350,"UNIV DISTRITAL FRANCISCO JOSE DE CALDAS, CENTRO INVEST & DESARROLLO CIENT","CARRERA 7 NO 40-53, BOGOTA, COLOMBIA, 00000","English, Spanish","Education, Scientific Disciplines"
REVISTA CIENTIFICA DA FACULDADE DE EDUCACAO E MEIO AMBIENTE,2179-4200,2179-4200,FAEMA-FAC EDUCACAO & MEIO AMBIENTE,"FAEMA-FAC EDUCACAO & MEIO AMBIENTE, ARIQUEMES, BRAZIL, 00000",Portuguese,"Social Sciences, Interdisciplinary"
REVISTA CIENTIFICA HERMES,2175-0556,2175-0556,FAC INST PAULISTA ENSINO-FIPEN,"RUA EUCLIDES DA CUNHA 377, CENTRO, OSASCO, BRAZIL, SP, 00000","English, Portuguese, Spanish","Social Sciences, Interdisciplinary"
REVISTA CLINICA CONTEMPORANEA,1989-9912,1989-9912,COLEGIO OFICIAL PSICOLOGOS MADRID,"CUESTA DE SAN VICENTE, N 4, 6 PLANTA, MADRID, SPAIN, 00000","Spanish, English","Psychology, Clinical"
REVISTA COLOMBIANA DE BIOETICA,1900-6896,2590-9452,UNIV EL BOSQUE,"AV CRA 9 NO 131 A - 02, EDIFICIO FUNDADORES, BOGOTA, COLOMBIA, DC, 00000",Spanish,Ethics
REVISTA COLOMBIANA DE CANCEROLOGIA,0123-9015,2346-0199,INST NACIONAL CANCEROLOGIA,"CALLE 1 NO 9-85, APDO AEREO 17158, BOGOTA, COLOMBIA, 00000",Multi-Language,Oncology
REVISTA COLOMBIANA DE CIENCIAS SOCIALES,2216-1201,2216-1201,UNIV CATOLICA LUIS AMIGO,"TRANSVERSAL 51 A, MEDELLIN, COLOMBIA, 67B 90","Spanish, Portuguese","Social Sciences, Interdisciplinary"
REVISTA COLOMBIANA DE FILOSOFIA DE LA CIENCIA,0124-4620,2463-1159,UNIV EL BOSQUE,"AV CRA 9 NO 131 A - 02, EDIFICIO FUNDADORES, BOGOTA, COLOMBIA, DC, 00000","Spanish, English",History & Philosophy Of Science
REVISTA COLOMBIANA DE INVESTIGACIONES AGROINDUSTRIALES,2422-0582,2422-4456,CENTRO AGROPECUARIO SENA BUGA,"CARRETERA CENTRAL VIA BUGA, TULUA, VALLE DEL CAUCA, COLOMBIA, 00000","Spanish, English, Portuguese","Agriculture, Multidisciplinary"
REVISTA COLOMBIANA DE LAS ARTES ESCENICAS,2011-222X,2011-222X,UNIV CALDAS,"PALACIO BELLAS ARTES, CARRERA 21 NO13-02 AVENIDA 12 OCTUBRE, MANIZALES, COLOMBIA, CALDAS, 00000",,Theater
REVISTA COLOMBIANA DE QUIMICA,0120-2804,2357-3791,"UNIV NAC COLOMBIA, DEPT QUIMICA","CIUDAD UNIV, TRANSVERSAL 38 NO 40-01, APT AEREO 5997, BOGOTA, COLOMBIA, 00000","Spanish, English, Portuguese","Chemistry, Multidisciplinary"
REVISTA COLOMBIANA DE SOCIOLOGIA,0120-159X,2256-5485,"UNIV NACL COLOMBIA, DEPT SOCIOLOGIA","CIUDAD UNIV, BOGOTA, COLOMBIA, 00000","Spanish, English, Portuguese",Sociology
REVISTA COMPLUTENSE DE EDUCACION,1130-2496,1988-2793,"UNIV COMPLUTENSE MADRID, SERVICIO PUBLICACIONES","CIUDAD UNIV, OBISPO TREJO 3, MADRID, SPAIN, 28040","Spanish, English",Education & Educational Research
REVISTA COMPLUTENSE DE HISTORIA DE AMERICA,1132-8312,1988-270X,"UNIV COMPLUTENSE MADRID, SERVICIO PUBLICACIONES","CIUDAD UNIV, OBISPO TREJO 3, MADRID, SPAIN, 28040",Spanish,History
REVISTA COMUNICACAO MIDIATICA,2236-8000,2236-8000,"UNIV ESTADUAL PAULISTA JULIO MESQUITA FILHO,  FAC ARQUITETURA ARTES & COMUN","CAMPUS DE BAURU, BAURU, BRAZIL, 00000",Multi-Language,Communication
REVISTA COMUNICACION,0379-3974,1659-3820,ESCUELA CIENCIAS LENGUAJE,"APT 159-7050, CARTAGO, COSTA RICA, 00000",Spanish,Biology
REVISTA CONRADO,1990-8644,1990-8644,UNIV CIENFUEGOS,"CARRETERA RODAS KM 4, CUATRO CAMINOS, CIENFUEGOS, CUBA, 00000",Spanish,Education & Educational Research
REVISTA CONTABILIDADE E CONTROLADORIA-RC C,1984-6266,1984-6266,UNIV FEDERAL PARANA,"AV MAYOR LOTHARIO MEISSNER, 632 CAMPUS III, CURITIBA BOTANICAL GARDEN, PARANA, BRAZIL, CEP80210-170",Portuguese,"Business, Finance"
REVISTA CONTEMPORANEA DE EDUCACAO,1809-5747,1809-5747,"UNIV FED RIO DE JANEIRO, FAC LETRAS","CIDADE UNIV, PROGRAM POS-GRAD LETRAS NEOLATINAS, AV HORACIO MACEDO, 2151, RIO DE JANEIRO RJ, BRAZIL, CEP 21941-90",Portuguese,Education & Educational Research
REVISTA COOPERATIVISMO Y DESARROLLO-COODES,2310-340X,2310-340X,UNIV PINAR RIO HERMANOS SAIZ MONTES OCA,"CALLE MARTI NO 300 27 NOVIEMBRE & GONZALEZ ALCORTA, PINA DEL RIO, CUBA, CP 20100",Spanish,Development Studies
REVISTA CORPOICA-CIENCIA Y TECNOLOGIA AGROPECUARIA,0122-8706,2500-5308,CORP COLOMBIANA INVESTIGACION AGROPECUARIA-CORPOICA,"APARTADO AEREO 240142, LAS PALMAS BOGOTA, COLOMBIA, 00000","English, Portuguese, Spanish","Agriculture, Multidisciplinary"
REVISTA COSTARRICENSE DE PSICOLOGIA,0257-1439,1659-2913,COLEGIO PROFESIONAL PSICOLOGOS COSTA RICA,"APARTADO POSTAL 8238-1000, SAN JOSE, COSTA RICA, 00000","English, Portuguese, Spanish","Psychology, Multidisciplinary"
REVISTA CRIMINALIDAD,1794-3108,2256-5531,POLICIA NAC COLOMBIA,"CENTRO INVESTIGACIONES CRIMINOLOGICAS DIJIN, AVE EL DORADO 75-25, BOGOTA, COLOMBIA, 00000","Spanish, English",Criminology & Penology
REVISTA CRITICA CULTURAL,1980-6493,1980-6493,UNIV SUL SANTA CATARINA,"GRAD PROG LANGUAGE SCIENCES, A-C EDITORS, AV WHITE STONE, 25-UNIV CITY WHITESTONE, SANTA CATARINA, BRAZIL, PALHOCA, CEP88132-000",Multi-Language,Literary Theory & Criticism
REVISTA CRITICA DE CIENCIAS SOCIAIS,0254-1106,2182-7435,"CENTRO ESTUDOS SOCIAIS, FAC ECONOMIA","APTDO 3087, COIMBRA, PORTUGAL, 3001-401","English, Portuguese, Spanish","Social Sciences, Interdisciplinary"
REVISTA CS EN CIENCIAS SOCIALES,2011-0324,2011-0324,UNIV ICESI,"CALLE 18 NO 122-135 PANCE, CALI, COLOMBIA, 00000","Spanish, English, Portuguese",Social Issues
REVISTA CUBANA DE CIENCIAS FORESTALES,2310-3469,2310-3469,UNIV PINAR RIO HERMANOS SAIZ MONTES OCA,"CALLE MARTI NO 300 27 NOVIEMBRE & GONZALEZ ALCORTA, PINA DEL RIO, CUBA, CP 20100",Spanish,Forestry
REVISTA CUBANA DE FISICA,0253-9268,2224-7939,EDICIONES CUBANAS,"OBISPO N 527, HAVANA, CUBA, 00000","English, Spanish","Physics, Multidisciplinary"
